index,dsp time,sfn,Adjustment value
359,10987.891751337,5667,-20
360,10987.896695627,5672,-20
361,10987.901723765,5677,-19
362,10987.921669238,5697,-19
363,10987.951738940,5727,-19
364,10987.956735648,5732,-18
365,10987.961809876,5737,-18
366,10987.966755761,5742,-18
367,10987.971763528,5747,-18
368,10987.976700565,5752,-18
369,10987.981710288,5757,-18
370,10987.986762294,5762,-18
371,10987.991713065,5767,-18
372,10988.001689506,5777,-18
373,10988.031740689,5807,-18
374,10988.036737139,5812,-19
375,10988.041764300,5817,-19
376,10988.046755401,5822,-19
377,10988.051725205,5827,-20
378,10988.056726594,5832,-20
379,10988.061739763,5837,-20
380,10988.081693364,5857,-20
381,10988.111732921,5887,-20
382,10988.116726697,5892,-21
383,10988.121750205,5897,-21
384,10988.126739146,5902,-21
385,10988.131692078,5907,-21
386,10988.136720781,5912,-21
387,10988.141708950,5917,-21
388,10988.146717849,5922,-21
389,10988.161673096,5937,-21
390,10988.191727314,5967,-21
391,10988.201779269,5977,-20
392,10988.206768415,5982,-19
393,10988.211757098,5987,-19
394,10988.216733024,5992,-19
395,10988.221738220,5997,-19
396,10988.226807253,6002,-19
397,10988.231771604,6007,-19
398,10988.236747222,6012,-19
399,10988.241697942,6017,-19
400,10988.271745216,6047,-19
401,10988.276757973,6052,-20
402,10988.281724537,6057,-20
403,10988.286729732,6062,-20
404,10988.296725925,6072,-20
405,10988.301776954,6077,-21
406,10988.306732098,6082,-21
407,10988.311733024,6087,-21
408,10988.316769650,6092,-21
409,10988.321737448,6097,-21
410,10988.356718672,6132,-21
411,10988.361753395,6137,-22
412,10988.366710699,6142,-22
413,10988.371690792,6147,-22
414,10988.401665637,6177,-22
415,10988.431700565,6207,-22
416,10988.441756224,6217,-23
417,10988.446707664,6222,-23
418,10988.476723868,6252,-23
419,10988.481738220,6257,-22
420,10988.486728549,6262,-22
421,10988.491743775,6267,-22
422,10988.496721244,6272,-22
423,10988.501695627,6277,-22
424,10988.506750668,6282,-22
425,10988.511746759,6287,-22
426,10988.521681224,6297,-22
427,10988.551689814,6327,-22
428,10988.556759207,6332,-21
429,10988.561703292,6337,-21
430,10988.566715740,6342,-21
431,10988.571720421,6347,-20
432,10988.601719855,6377,-20
433,10988.631728703,6407,-20
434,10988.636721450,6412,-19
435,10988.641697633,6417,-19
436,10988.646717901,6422,-19
437,10988.681740997,6457,-19
438,10988.686716872,6462,-18
439,10988.716722427,6492,-18
440,10988.721689969,6497,-18
441,10988.726714300,6502,-18
442,10988.761744187,6537,-18
443,10988.766726337,6542,-19
444,10988.796724382,6572,-19
445,10988.801710905,6577,-20
