index,dsp time,sfn,TX PWR value
513,10989.736758847,7512,-109
514,10989.761707870,7537,-110
515,10989.791699074,7567,-111
516,10989.801719032,7577,-111
517,10989.806722788,7582,-111
518,10989.836720061,7612,-111
519,10989.841714197,7617,-111
520,10989.881724588,7657,-110
521,10989.886730658,7662,-110
522,10989.891717181,7667,-110
523,10989.901726491,7677,-111
524,10989.906719444,7682,-111
525,10989.911734053,7687,-110
526,10989.921745216,7697,-109
527,10989.951749691,7727,-110
528,10989.961711985,7737,-108
529,10989.976720010,7752,-108
530,10989.981754166,7757,-108
531,10990.001706532,7777,-109
532,10990.031728755,7807,-110
533,10990.041713631,7817,-109
534,10990.051698713,7827,-109
535,10990.056736419,7832,-109
536,10990.081670216,7857,-110
537,10990.111696296,7887,-111
538,10990.121742746,7897,-111
539,10990.131767695,7907,-111
540,10990.136722479,7912,-111
541,10990.161687448,7937,-112
542,10990.191715123,7967,-113
543,10990.196731121,7972,-112
544,10990.201711162,7977,-112
545,10990.206740586,7982,-112
546,10990.216708487,7992,-112
547,10990.241765432,8017,-111
548,10990.281719393,8057,-110
549,10990.286739969,8062,-110
550,10990.291700771,8067,-110
551,10990.296716666,8072,-110
552,10990.321667901,8097,-111
553,10990.351705092,8127,-110
554,10990.356702109,8132,-109
555,10990.361780658,8137,-109
556,10990.366700823,8142,-109
557,10990.376707510,8152,-109
558,10990.396714763,8172,-108
559,10990.401723713,8177,-108
560,10990.436725462,8212,-107
561,10990.441673045,8217,-108
562,10990.446709773,8222,-107
563,10990.476724588,8252,-108
564,10990.481750823,8257,-108
565,10990.521759002,8297,-108
566,10990.536709979,8312,-108
567,10990.556746759,8332,-108
568,10990.561714300,8337,-108
569,10990.566754629,8342,-108
570,10990.576720473,8352,-108
571,10990.586722633,8362,-108
572,10990.596726697,8372,-110
573,10990.606724742,8382,-109
574,10990.616702366,8392,-109
575,10990.626703034,8402,-109
576,10990.631720627,8407,-109
577,10990.641700000,8417,-110
578,10990.681693004,8457,-109
579,10990.686735390,8462,-109
580,10990.691714300,8467,-109
581,10990.696727623,8472,-109
582,10990.701747479,8477,-110
583,10990.721708333,8497,-110
584,10990.751766923,8527,-111
585,10990.761722685,8537,-111
586,10990.776717026,8552,-111
587,10990.781702366,8557,-111
588,10990.796757201,8572,-111
589,10990.801745061,8577,-111
590,10990.841725000,8617,-112
591,10990.851772119,8627,-112
592,10990.856703189,8632,-112
593,10990.881696141,8657,-113
594,10990.911754732,8687,-114
595,10990.921710493,8697,-112
596,10990.926729783,8702,-112
597,10990.956709156,8732,-112
598,10990.961744701,8737,-112
599,10990.966715946,8742,-111
600,10990.971716820,8747,-112
601,10990.976713734,8752,-111
602,10990.981701028,8757,-111
603,10990.986724691,8762,-111
604,10991.001700514,8777,-112
605,10991.031744650,8807,-111
606,10991.036750257,8812,-110
607,10991.041718209,8817,-110
608,10991.046739969,8822,-110
609,10991.051768415,8827,-111
610,10991.081698765,8857,-111
611,10991.111738220,8887,-110
612,10991.116759979,8892,-109
613,10991.121730144,8897,-109
614,10991.126756121,8902,-109
615,10991.161713940,8937,-108
616,10991.196713014,8972,-107
617,10991.201776543,8977,-107
618,10991.206716512,8982,-107
619,10991.211719084,8987,-108
620,10991.241688837,9017,-108
621,10991.271706790,9047,-109
622,10991.276724897,9052,-108
623,10991.281719701,9057,-108
624,10991.286742849,9062,-108
625,10991.316738117,9092,-109
626,10991.321730246,9097,-109
627,10991.356721090,9132,-110
628,10991.366775977,9142,-110
629,10991.371764917,9147,-111
630,10991.401694598,9177,-111
631,10991.431706841,9207,-112
632,10991.436700925,9212,-111
633,10991.441755349,9217,-111
634,10991.446718878,9222,-111
635,10991.476747119,9252,-112
636,10991.481732870,9257,-112
637,10991.516706172,9292,-111
638,10991.521698971,9297,-111
639,10991.526717952,9302,-111
640,10991.531741409,9307,-112
641,10991.536750051,9312,-111
642,10991.561680452,9337,-112
643,10991.591733230,9367,-111
644,10991.596748713,9372,-110
645,10991.601757818,9377,-110
646,10991.606739660,9382,-110
647,10991.636710082,9412,-109
648,10991.641718055,9417,-109
649,10991.646722427,9422,-109
650,10991.656708693,9432,-109
651,10991.661728086,9437,-109
652,10991.666727211,9442,-108
653,10991.671733281,9447,-108
654,10991.681698662,9457,-109
655,10991.711759619,9487,-109
656,10991.721758024,9497,-109
657,10991.726743364,9502,-109
658,10991.731698045,9507,-109
659,10991.736725257,9512,-109
660,10991.741709413,9517,-109
661,10991.761677263,9537,-110
662,10991.791724537,9567,-111
663,10991.801728703,9577,-110
664,10991.811719804,9587,-110
665,10991.816756018,9592,-110
666,10991.821729475,9597,-111
667,10991.826764197,9602,-111
668,10991.841699279,9617,-111
669,10991.871729835,9647,-112
670,10991.876729835,9652,-112
671,10991.881745679,9657,-112
672,10991.891746399,9667,-112
673,10991.896723816,9672,-112
674,10991.901734413,9677,-112
675,10991.921708899,9697,-113
676,10991.951777417,9727,-112
677,10991.956739506,9732,-111
678,10991.961716152,9737,-111
679,10991.966743621,9742,-111
680,10991.976752623,9752,-111
681,10992.001732561,9777,-110
682,10992.006708539,9782,-110
683,10992.011717438,9787,-111
684,10992.016727520,9792,-110
685,10992.021716923,9797,-110
686,10992.026721090,9802,-111
687,10992.041691203,9817,-111
688,10992.071725360,9847,-110
689,10992.081764146,9857,-108
690,10992.086739763,9862,-108
691,10992.091691563,9867,-109
692,10992.121663014,9897,-109
693,10992.151723096,9927,-108
694,10992.156715020,9932,-107
695,10992.161740483,9937,-107
696,10992.166755967,9942,-107
697,10992.176721244,9952,-107
698,10992.196730041,9972,-108
699,10992.201743158,9977,-108
700,10992.241715226,10017,-109
701,10992.246730812,10022,-109
702,10992.251711574,10027,-110
703,10992.281700565,10057,-110
704,10992.311709516,10087,-111
705,10992.321722942,10097,-110
706,10992.326735905,10102,-110
707,10992.356724485,10132,-111
708,10992.361718312,10137,-111
709,10992.401723096,10177,-111
710,10992.411740432,10187,-112
711,10992.421727366,10197,-111
712,10992.426714763,10202,-111
713,10992.431757253,10207,-113
714,10992.441774588,10217,-112
715,10992.471715740,7,-113
716,10992.476732201,12,-111
717,10992.481729835,17,-111
718,10992.486711934,22,-111
719,10992.501755709,37,-111
